commodity_desc,statisticcat_desc,unit_desc,short_desc,prodn_practice_desc,util_practice_desc,agg_level_desc,state_alpha,state_name,year,freq_desc,begin_code,end_code,reference_period_desc,Value,value_num,load_time
CORN,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",ALL PRODUCTION PRACTICES,FOR BEVERAGE ALCOHOL,NATIONAL,US,US TOTAL,2026,MONTHLY,01,01,JAN,"3,466,000",3466000.0,2026-04-01 15:00:00
CORN,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",ALL PRODUCTION PRACTICES,FOR BEVERAGE ALCOHOL,NATIONAL,US,US TOTAL,2026,MONTHLY,02,02,FEB,"3,238,000",3238000.0,2026-05-01 15:00:00
CORN,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",ALL PRODUCTION PRACTICES,FOR BEVERAGE ALCOHOL,NATIONAL,US,US TOTAL,2026,MONTHLY,03,03,MAR,"3,647,000",3647000.0,2026-06-01 15:00:00
CORN,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",ALL PRODUCTION PRACTICES,FOR BEVERAGE ALCOHOL,NATIONAL,US,US TOTAL,2026,MONTHLY,04,04,APR,"4,267,000",4267000.0,2026-07-01 15:00:00
CORN,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",ALL PRODUCTION PRACTICES,FOR BEVERAGE ALCOHOL,NATIONAL,US,US TOTAL,2026,MONTHLY,05,05,MAY,"3,982,000",3982000.0,2026-07-01 15:00:00
CORN,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",ALL PRODUCTION PRACTICES,FOR BEVERAGE ALCOHOL,NATIONAL,US,US TOTAL,2025,MONTHLY,01,01,JAN,"2,847,000",2847000.0,2025-04-01 15:00:00
CORN,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",ALL PRODUCTION PRACTICES,FOR BEVERAGE ALCOHOL,NATIONAL,US,US TOTAL,2025,MONTHLY,02,02,FEB,"3,036,000",3036000.0,2025-05-01 15:00:00
CORN,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",ALL PRODUCTION PRACTICES,FOR BEVERAGE ALCOHOL,NATIONAL,US,US TOTAL,2025,MONTHLY,03,03,MAR,"4,208,000",4208000.0,2025-06-02 15:00:00
CORN,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",ALL PRODUCTION PRACTICES,FOR BEVERAGE ALCOHOL,NATIONAL,US,US TOTAL,2025,MONTHLY,04,04,APR,"2,683,000",2683000.0,2025-07-01 15:00:00
CORN,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",ALL PRODUCTION PRACTICES,FOR BEVERAGE ALCOHOL,NATIONAL,US,US TOTAL,2025,MONTHLY,05,05,MAY,"3,800,000",3800000.0,2025-08-01 15:00:00
CORN,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",ALL PRODUCTION PRACTICES,FOR BEVERAGE ALCOHOL,NATIONAL,US,US TOTAL,2025,MONTHLY,06,06,JUN,"3,057,000",3057000.0,2025-09-02 15:00:00
CORN,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",ALL PRODUCTION PRACTICES,FOR BEVERAGE ALCOHOL,NATIONAL,US,US TOTAL,2025,MONTHLY,07,07,JUL,"2,778,000",2778000.0,2025-11-21 15:00:00
CORN,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",ALL PRODUCTION PRACTICES,FOR BEVERAGE ALCOHOL,NATIONAL,US,US TOTAL,2025,MONTHLY,08,08,AUG,"3,407,000",3407000.0,2025-11-21 15:00:00
CORN,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",ALL PRODUCTION PRACTICES,FOR BEVERAGE ALCOHOL,NATIONAL,US,US TOTAL,2025,MONTHLY,09,09,SEP,"3,639,000",3639000.0,2025-12-10 15:00:00
CORN,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",ALL PRODUCTION PRACTICES,FOR BEVERAGE ALCOHOL,NATIONAL,US,US TOTAL,2025,MONTHLY,10,10,OCT,"3,511,000",3511000.0,2026-01-02 15:00:00
CORN,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",ALL PRODUCTION PRACTICES,FOR BEVERAGE ALCOHOL,NATIONAL,US,US TOTAL,2025,MONTHLY,11,11,NOV,"3,447,000",3447000.0,2026-02-02 15:00:00
CORN,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",ALL PRODUCTION PRACTICES,FOR BEVERAGE ALCOHOL,NATIONAL,US,US TOTAL,2025,MONTHLY,12,12,DEC,"3,153,000",3153000.0,2026-03-02 15:00:00
CORN,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",ALL PRODUCTION PRACTICES,FOR BEVERAGE ALCOHOL,NATIONAL,US,US TOTAL,2024,MONTHLY,01,01,JAN,"3,999,000",3999000.0,2025-09-02 15:00:00
CORN,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",ALL PRODUCTION PRACTICES,FOR BEVERAGE ALCOHOL,NATIONAL,US,US TOTAL,2024,MONTHLY,02,02,FEB,"4,535,000",4535000.0,2025-09-02 15:00:00
CORN,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",ALL PRODUCTION PRACTICES,FOR BEVERAGE ALCOHOL,NATIONAL,US,US TOTAL,2024,MONTHLY,03,03,MAR,"4,300,000",4300000.0,2025-09-02 15:00:00
