commodity_desc,statisticcat_desc,unit_desc,short_desc,prodn_practice_desc,util_practice_desc,agg_level_desc,state_alpha,state_name,year,freq_desc,begin_code,end_code,reference_period_desc,Value,value_num,load_time
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2026,MONTHLY,01,01,JAN,"6,839,394",6839394.0,2026-04-01 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2026,MONTHLY,02,02,FEB,"6,426,352",6426352.0,2026-05-01 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2026,MONTHLY,03,03,MAR,"6,954,012",6954012.0,2026-06-01 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2026,MONTHLY,04,04,APR,"6,525,326",6525326.0,2026-07-01 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2026,MONTHLY,05,05,MAY,"6,393,408",6393408.0,2026-07-01 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2025,MONTHLY,01,01,JAN,"6,376,635",6376635.0,2026-03-02 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2025,MONTHLY,02,02,FEB,"5,687,304",5687304.0,2026-03-02 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2025,MONTHLY,03,03,MAR,"6,202,642",6202642.0,2026-03-02 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2025,MONTHLY,04,04,APR,"6,071,540",6071540.0,2026-03-02 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2025,MONTHLY,05,05,MAY,"6,111,115",6111115.0,2026-03-02 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2025,MONTHLY,06,06,JUN,"5,907,743",5907743.0,2026-03-02 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2025,MONTHLY,07,07,JUL,"6,155,209",6155209.0,2026-03-02 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2025,MONTHLY,08,08,AUG,"5,941,050",5941050.0,2026-03-02 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2025,MONTHLY,09,09,SEP,"6,148,544",6148544.0,2026-03-02 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2025,MONTHLY,10,10,OCT,"7,090,382",7090382.0,2026-03-02 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2025,MONTHLY,11,11,NOV,"6,615,176",6615176.0,2026-03-02 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2025,MONTHLY,12,12,DEC,"6,895,963",6895963.0,2026-03-02 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2024,MONTHLY,01,01,JAN,"5,828,390",5828390.0,2025-03-03 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2024,MONTHLY,02,02,FEB,"5,803,253",5803253.0,2025-03-03 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2024,MONTHLY,03,03,MAR,"6,106,056",6106056.0,2025-03-03 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2024,MONTHLY,04,04,APR,"5,327,076",5327076.0,2025-03-03 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2024,MONTHLY,05,05,MAY,"5,748,779",5748779.0,2025-03-03 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2024,MONTHLY,06,06,JUN,"5,504,777",5504777.0,2025-03-03 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2024,MONTHLY,07,07,JUL,"5,798,234",5798234.0,2025-03-03 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2024,MONTHLY,08,08,AUG,"5,026,648",5026648.0,2025-03-03 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2024,MONTHLY,09,09,SEP,"5,595,095",5595095.0,2025-03-03 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2024,MONTHLY,10,10,OCT,"6,473,504",6473504.0,2025-03-03 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2024,MONTHLY,11,11,NOV,"6,301,225",6301225.0,2025-03-03 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2024,MONTHLY,12,12,DEC,"6,531,043",6531043.0,2025-03-03 15:00:00
