commodity_desc,statisticcat_desc,unit_desc,short_desc,agg_level_desc,state_alpha,state_name,year,freq_desc,reference_period_desc,Value,value_num,load_time
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",NATIONAL,US,US TOTAL,2026,POINT IN TIME,FIRST OF MAR,"9,030,190,000",9030190000.0,2026-06-30 12:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",NATIONAL,US,US TOTAL,2026,POINT IN TIME,FIRST OF JUN,"5,294,828,000",5294828000.0,2026-06-30 12:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",NATIONAL,US,US TOTAL,2025,POINT IN TIME,FIRST OF MAR,"8,147,437,000",8147437000.0,2026-01-12 12:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",NATIONAL,US,US TOTAL,2025,POINT IN TIME,FIRST OF JUN,"4,642,894,000",4642894000.0,2026-01-12 12:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",NATIONAL,US,US TOTAL,2025,POINT IN TIME,FIRST OF SEP,"1,551,286,000",1551286000.0,2026-01-12 12:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",NATIONAL,US,US TOTAL,2025,POINT IN TIME,FIRST OF DEC,"13,305,825,000",13305825000.0,2026-03-31 12:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",NATIONAL,US,US TOTAL,2024,POINT IN TIME,FIRST OF MAR,"8,352,378,000",8352378000.0,2025-01-10 12:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",NATIONAL,US,US TOTAL,2024,POINT IN TIME,FIRST OF JUN,"4,997,048,000",4997048000.0,2025-01-10 12:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",NATIONAL,US,US TOTAL,2024,POINT IN TIME,FIRST OF SEP,"1,763,400,000",1763400000.0,2025-01-10 12:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",NATIONAL,US,US TOTAL,2024,POINT IN TIME,FIRST OF DEC,"12,075,407,000",12075407000.0,2026-01-12 12:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",NATIONAL,US,US TOTAL,2023,POINT IN TIME,FIRST OF MAR,"7,396,403,000",7396403000.0,2024-01-09 15:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",NATIONAL,US,US TOTAL,2023,POINT IN TIME,FIRST OF JUN,"4,103,309,000",4103309000.0,2024-01-09 15:00:00
