mapdate,stateabbreviation,none,d0,d1,d2,d3,d4,validstart,validend,statisticformatid,state_alpha
2026-06-09,IA,39.22,60.78,2.6,0.0,0.0,0.0,2026-06-09,2026-06-15,1,IA
2026-06-02,IA,27.51,72.49,2.6,0.0,0.0,0.0,2026-06-02,2026-06-08,1,IA
2026-05-26,IA,56.82,43.18,2.3,0.1,0.0,0.0,2026-05-26,2026-06-01,1,IA
2026-05-19,IA,75.14,24.86,2.3,0.1,0.0,0.0,2026-05-19,2026-05-25,1,IA
2026-05-12,IA,72.3,27.7,2.32,0.1,0.0,0.0,2026-05-12,2026-05-18,1,IA
2026-05-05,IA,89.21,10.79,2.06,0.1,0.0,0.0,2026-05-05,2026-05-11,1,IA
2026-04-28,IA,89.55,10.45,2.06,0.1,0.0,0.0,2026-04-28,2026-05-04,1,IA
2026-04-21,IA,87.06,12.94,3.98,0.54,0.0,0.0,2026-04-21,2026-04-27,1,IA
2026-04-14,IA,82.6,17.4,4.96,0.02,0.0,0.0,2026-04-14,2026-04-20,1,IA
2026-04-07,IA,46.74,53.26,16.59,3.48,0.0,0.0,2026-04-07,2026-04-13,1,IA
2026-03-31,IA,42.65,57.35,38.55,6.83,0.0,0.0,2026-03-31,2026-04-06,1,IA
2026-03-24,IA,46.09,53.91,38.31,2.07,0.0,0.0,2026-03-24,2026-03-30,1,IA
2026-03-17,IA,46.09,53.91,37.44,2.07,0.0,0.0,2026-03-17,2026-03-23,1,IA
2026-03-10,IA,38.9,61.1,39.59,2.07,0.0,0.0,2026-03-10,2026-03-16,1,IA
2026-03-03,IA,26.21,73.79,43.04,2.07,0.0,0.0,2026-03-03,2026-03-09,1,IA
2026-02-24,IA,32.11,67.89,25.27,0.0,0.0,0.0,2026-02-24,2026-03-02,1,IA
2026-02-17,IA,37.62,62.38,11.39,0.0,0.0,0.0,2026-02-17,2026-02-23,1,IA
2026-02-10,IA,42.44,57.56,1.03,0.0,0.0,0.0,2026-02-10,2026-02-16,1,IA
2026-02-03,IA,53.51,46.49,0.9,0.0,0.0,0.0,2026-02-03,2026-02-09,1,IA
2026-01-27,IA,55.89,44.11,0.9,0.0,0.0,0.0,2026-01-27,2026-02-02,1,IA
2026-01-20,IA,55.8,44.2,0.9,0.0,0.0,0.0,2026-01-20,2026-01-26,1,IA
2026-01-13,IA,55.2,44.8,0.9,0.0,0.0,0.0,2026-01-13,2026-01-19,1,IA
2026-01-06,IA,40.38,59.62,6.13,0.0,0.0,0.0,2026-01-06,2026-01-12,1,IA
2025-12-30,IA,50.42,49.58,17.32,0.0,0.0,0.0,2025-12-30,2026-01-05,1,IA
2025-12-23,IA,51.0,49.0,17.42,0.0,0.0,0.0,2025-12-23,2025-12-29,1,IA
2025-12-16,IA,40.09,59.91,20.54,0.0,0.0,0.0,2025-12-16,2025-12-22,1,IA
2025-12-09,IA,34.93,65.07,21.42,0.0,0.0,0.0,2025-12-09,2025-12-15,1,IA
2025-12-02,IA,34.93,65.07,21.42,0.0,0.0,0.0,2025-12-02,2025-12-08,1,IA
2025-11-25,IA,28.34,71.66,21.41,0.0,0.0,0.0,2025-11-25,2025-12-01,1,IA
