source_file,report_month,commodity,marketing_year,estimate_type,vintage,column_order,metric,metric_key,unit,value
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2024/25,reported,current,1,Area Harvested,area_harvested,Million Acres,83.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2024/25,reported,current,1,Area Planted,area_planted,Million Acres,90.9
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2024/25,reported,current,1,Avg.FarmPrice ($/bu),avg_farmprice_bu,$/bu,4.24
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2024/25,reported,current,1,Beginning Stocks,beginning_stocks,Million Bushels,1763.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2024/25,reported,current,1,"Domestic, Total",domestic_total,Million Bushels,12267.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2024/25,reported,current,1,Ending Stocks,ending_stocks,Million Bushels,1551.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2024/25,reported,current,1,Ethanol & by-products,ethanol_and_by_products,Million Bushels,5436.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2024/25,reported,current,1,Exports,exports,Million Bushels,2858.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2024/25,reported,current,1,Feed and Residual,feed_and_residual,Million Bushels,5454.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2024/25,reported,current,1,"Food,Seed& Industrial",food_seedand_industrial,Million Bushels,6814.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2024/25,reported,current,1,Imports,imports,Million Bushels,22.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2024/25,reported,current,1,Production,production,Million Bushels,14892.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2024/25,reported,current,1,"Supply, Total",supply_total,Million Bushels,16677.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2024/25,reported,current,1,"Use, Total",use_total,Million Bushels,15126.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2024/25,reported,current,1,Yield per Harvested Acre,yield_per_harvested_acre,Bushels,179.3
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2025/26,estimate,current,2,Area Harvested,area_harvested,Million Acres,91.3
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2025/26,estimate,current,2,Area Planted,area_planted,Million Acres,98.8
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2025/26,estimate,current,2,Avg.FarmPrice ($/bu),avg_farmprice_bu,$/bu,4.15
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2025/26,estimate,current,2,Beginning Stocks,beginning_stocks,Million Bushels,1551.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2025/26,estimate,current,2,"Domestic, Total",domestic_total,Million Bushels,13130.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2025/26,estimate,current,2,Ending Stocks,ending_stocks,Million Bushels,2145.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2025/26,estimate,current,2,Ethanol & by-products,ethanol_and_by_products,Million Bushels,5575.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2025/26,estimate,current,2,Exports,exports,Million Bushels,3325.0
