commodity,month,marketing_year,fsi_use_mbu,alcohol_use_mbu,fuel_alcohol_use_mbu,beverage_alcohol_use_mbu,industrial_alcohol_use_mbu,other_products_use_mbu,other_fsi_use_mbu,source
CORN,2015-01-01,2014/15,,,443.89,2.087,6.326,43.389,51.80200000000001,USDA NASS Grain Crushings and Co-Products
CORN,2015-02-01,2014/15,,,394.083,2.698,6.522,37.584,46.804,USDA NASS Grain Crushings and Co-Products
CORN,2015-03-01,2014/15,,,437.828,2.455,6.671,44.348,53.474000000000004,USDA NASS Grain Crushings and Co-Products
CORN,2015-04-01,2014/15,,,407.719,3.298,6.555,44.908,54.761,USDA NASS Grain Crushings and Co-Products
CORN,2015-05-01,2014/15,,,448.984,3.234,5.701,47.625,56.56,USDA NASS Grain Crushings and Co-Products
CORN,2015-06-01,2014/15,,,441.272,2.492,6.857,42.851,52.2,USDA NASS Grain Crushings and Co-Products
CORN,2015-07-01,2014/15,,,448.4,2.645,6.207,44.139,52.991,USDA NASS Grain Crushings and Co-Products
CORN,2015-08-01,2014/15,,,445.718,3.129,6.336,42.51,51.974999999999994,USDA NASS Grain Crushings and Co-Products
CORN,2015-09-01,2015/16,,,425.916,3.478,5.673,41.906,51.057,USDA NASS Grain Crushings and Co-Products
CORN,2015-10-01,2015/16,,,440.383,2.599,6.687,42.386,51.672000000000004,USDA NASS Grain Crushings and Co-Products
CORN,2015-11-01,2015/16,,,433.903,2.97,5.576,40.935,49.481,USDA NASS Grain Crushings and Co-Products
CORN,2015-12-01,2015/16,,,451.306,2.807,6.479,41.724,51.01,USDA NASS Grain Crushings and Co-Products
CORN,2016-01-01,2015/16,,,444.036,3.141,5.505,41.331,49.977000000000004,USDA NASS Grain Crushings and Co-Products
CORN,2016-02-01,2015/16,,,420.937,2.462,6.301,40.558,49.321,USDA NASS Grain Crushings and Co-Products
CORN,2016-03-01,2015/16,,,438.381,2.712,6.126,44.136,52.974000000000004,USDA NASS Grain Crushings and Co-Products
