commodity,year,stock_date,stock_month,reference_period_desc,agg_level,state_alpha,state_name,stocks_bu,stocks_mbu,on_farm_stocks_bu,on_farm_stocks_mbu,off_farm_stocks_bu,off_farm_stocks_mbu,on_farm_share_pct,off_farm_share_pct,load_time
CORN,2015,2015-03-01,3,FIRST OF MAR,NATIONAL,US,US TOTAL,7749806000.0,7749.806,4380000000.0,4380.0,3369806000.0,3369.806,56.517543793999494,43.48245620600051,2019-02-06 15:00:06
CORN,2015,2015-06-01,6,FIRST OF JUN,NATIONAL,US,US TOTAL,4452988000.0,4452.988,2275000000.0,2275.0,2177988000.0,2177.988,51.08929105580342,48.910708944196564,2019-02-06 15:00:06
CORN,2015,2015-09-01,9,FIRST OF SEP,NATIONAL,US,US TOTAL,1731164000.0,1731.164,593000000.0,593.0,1138164000.0,1138.164,34.25440917209461,65.74559082790539,2019-02-06 15:00:06
CORN,2015,2015-12-01,12,FIRST OF DEC,NATIONAL,US,US TOTAL,11235178000.0,11235.178,6829000000.0,6829.0,4406178000.0,4406.178,60.782303582551165,39.21769641744884,2019-02-06 15:00:06
CORN,2016,2016-03-01,3,FIRST OF MAR,NATIONAL,US,US TOTAL,7822233000.0,7822.233,4335000000.0,4335.0,3487233000.0,3487.233,55.418957732401985,44.581042267598015,2019-02-06 15:00:06
CORN,2016,2016-06-01,6,FIRST OF JUN,NATIONAL,US,US TOTAL,4711079000.0,4711.079,2471400000.0,2471.4,2239679000.0,2239.679,52.459319828854504,47.54068017114551,2019-02-06 15:00:06
CORN,2016,2016-09-01,9,FIRST OF SEP,NATIONAL,US,US TOTAL,1737058000.0,1737.058,627400000.0,627.4,1109658000.0,1109.658,36.118540658976265,63.88145934102373,2019-02-06 15:00:06
CORN,2016,2016-12-01,12,FIRST OF DEC,NATIONAL,US,US TOTAL,12383471000.0,12383.471,7611000000.0,7611.0,4772471000.0,4772.471,61.46095872473881,38.53904127526119,2019-02-06 15:00:06
CORN,2017,2017-03-01,3,FIRST OF MAR,NATIONAL,US,US TOTAL,8621992000.0,8621.992,4908000000.0,4908.0,3713992000.0,3713.992,56.924200347205144,43.075799652794856,2019-02-06 15:00:06
CORN,2017,2017-06-01,6,FIRST OF JUN,NATIONAL,US,US TOTAL,5229082000.0,5229.082,2841400000.0,2841.4,2387682000.0,2387.682,54.33840968644209,45.661590313557895,2019-02-06 15:00:06
CORN,2017,2017-09-01,9,FIRST OF SEP,NATIONAL,US,US TOTAL,2293303000.0,2293.303,787000000.0,787.0,1506303000.0,1506.303,34.31731437145463,65.68268562854539,2019-02-06 15:00:06
CORN,2017,2017-12-01,12,FIRST OF DEC,NATIONAL,US,US TOTAL,12566501000.0,12566.501,7739000000.0,7739.0,4827501000.0,4827.501,61.58436624482822,38.41563375517178,2019-02-06 15:00:06
CORN,2018,2018-03-01,3,FIRST OF MAR,NATIONAL,US,US TOTAL,8892126000.0,8892.126,5002000000.0,5002.0,3890126000.0,3890.126,56.25201442264763,43.74798557735237,2019-02-06 15:00:06
CORN,2018,2018-06-01,6,FIRST OF JUN,NATIONAL,US,US TOTAL,5304804000.0,5304.804,2750100000.0,2750.1,2554704000.0,2554.704,51.84168915571621,48.15831084428378,2019-02-06 15:00:06
CORN,2018,2018-09-01,9,FIRST OF SEP,NATIONAL,US,US TOTAL,2140335000.0,2140.335,620000000.0,620.0,1520335000.0,1520.335,28.967427996084727,71.03257200391528,2019-02-06 15:00:06
CORN,2018,2018-12-01,12,FIRST OF DEC,NATIONAL,US,US TOTAL,12286508000.0,12286.508,7686000000.0,7686.0,4600508000.0,4600.508,62.556423680349205,37.44357631965079,2024-01-09 15:00:00
CORN,2019,2019-03-01,3,FIRST OF MAR,NATIONAL,US,US TOTAL,8835335000.0,8835.335,5260000000.0,5260.0,3575335000.0,3575.335,59.53367925494619,40.466320745053814,2024-01-09 15:00:00
CORN,2019,2019-06-01,6,FIRST OF JUN,NATIONAL,US,US TOTAL,5363535000.0,5363.535,3024900000.0,3024.9,2338635000.0,2338.635,56.39750649524987,43.60249350475014,2024-01-09 15:00:00
CORN,2019,2019-09-01,9,FIRST OF SEP,NATIONAL,US,US TOTAL,2237008000.0,2237.008,829200000.0,829.2,1407808000.0,1407.808,37.067368556572,62.93263144342801,2024-01-09 15:00:00
CORN,2019,2019-12-01,12,FIRST OF DEC,NATIONAL,US,US TOTAL,11820322000.0,11820.322,7418000000.0,7418.0,4402322000.0,4402.322,62.7563276195014,37.2436723804986,2024-01-09 15:00:00
CORN,2020,2020-03-01,3,FIRST OF MAR,NATIONAL,US,US TOTAL,8299381000.0,8299.381,4671000000.0,4671.0,3628381000.0,3628.381,56.281305798589074,43.718694201410926,2024-01-09 15:00:00
CORN,2020,2020-06-01,6,FIRST OF JUN,NATIONAL,US,US TOTAL,5237190000.0,5237.19,2961000000.0,2961.0,2276190000.0,2276.19,56.53795260435462,43.46204739564538,2024-01-09 15:00:00
CORN,2020,2020-09-01,9,FIRST OF SEP,NATIONAL,US,US TOTAL,2004354000.0,2004.354,778700000.0,778.7,1225654000.0,1225.654,38.850422629934634,61.149577370065366,2024-01-09 15:00:00
CORN,2020,2020-12-01,12,FIRST OF DEC,NATIONAL,US,US TOTAL,11816985000.0,11816.985,7436000000.0,7436.0,4380985000.0,4380.985,62.92637250533871,37.07362749466128,2024-01-09 15:00:00
CORN,2021,2021-03-01,3,FIRST OF MAR,NATIONAL,US,US TOTAL,7806778000.0,7806.778,4036500000.0,4036.5,3770278000.0,3770.278,51.70506962027099,48.294930379728996,2024-01-09 15:00:00
CORN,2021,2021-06-01,6,FIRST OF JUN,NATIONAL,US,US TOTAL,4111181000.0,4111.181,1743600000.0,1743.6,2367581000.0,2367.581,42.41117090198656,57.58882909801345,2024-01-09 15:00:00
CORN,2021,2021-09-01,9,FIRST OF SEP,NATIONAL,US,US TOTAL,1234512000.0,1234.512,394900000.0,394.9,839612000.0,839.612,31.98834843241702,68.01165156758297,2024-01-09 15:00:00
CORN,2021,2021-12-01,12,FIRST OF DEC,NATIONAL,US,US TOTAL,11631181000.0,11631.181,7224000000.0,7224.0,4407181000.0,4407.181,62.108912242015656,37.89108775798433,2024-01-09 15:00:00
CORN,2022,2022-03-01,3,FIRST OF MAR,NATIONAL,US,US TOTAL,7757036000.0,7757.036,4079000000.0,4079.0,3678036000.0,3678.036,52.58451810717393,47.41548189282607,2024-01-09 15:00:00
CORN,2022,2022-06-01,6,FIRST OF JUN,NATIONAL,US,US TOTAL,4348968000.0,4348.968,2120700000.0,2120.7,2228268000.0,2228.268,48.7632928087767,51.236707191223296,2024-01-09 15:00:00
CORN,2022,2022-09-01,9,FIRST OF SEP,NATIONAL,US,US TOTAL,1376890000.0,1376.89,509500000.0,509.5,867390000.0,867.39,37.003682211360385,62.99631778863961,2024-01-09 15:00:00
CORN,2022,2022-12-01,12,FIRST OF DEC,NATIONAL,US,US TOTAL,10813207000.0,10813.207,6740000000.0,6740.0,4073207000.0,4073.207,62.331184448794886,37.66881555120511,2024-01-09 15:00:00
CORN,2023,2023-03-01,3,FIRST OF MAR,NATIONAL,US,US TOTAL,7396403000.0,7396.403,4105000000.0,4105.0,3291403000.0,3291.403,55.49995044888711,44.50004955111288,2024-01-09 15:00:00
CORN,2023,2023-06-01,6,FIRST OF JUN,NATIONAL,US,US TOTAL,4103309000.0,4103.309,2216800000.0,2216.8,1886509000.0,1886.509,54.0246908044215,45.9753091955785,2024-01-09 15:00:00
CORN,2023,2023-09-01,9,FIRST OF SEP,NATIONAL,US,US TOTAL,1360201000.0,1360.201,604400000.0,604.4,755801000.0,755.801,44.434609296714235,55.565390703285765,2024-01-09 15:00:00
CORN,2023,2023-12-01,12,FIRST OF DEC,NATIONAL,US,US TOTAL,12171163000.0,12171.163,7830000000.0,7830.0,4341163000.0,4341.163,64.33238959990922,35.667610400090766,2025-01-10 12:00:00
CORN,2024,2024-03-01,3,FIRST OF MAR,NATIONAL,US,US TOTAL,8352378000.0,8352.378,5079000000.0,5079.0,3273378000.0,3273.378,60.809029476395814,39.19097052360417,2025-01-10 12:00:00
CORN,2024,2024-06-01,6,FIRST OF JUN,NATIONAL,US,US TOTAL,4997048000.0,4997.048,3026000000.0,3026.0,1971048000.0,1971.048,60.55575211604932,39.44424788395068,2025-01-10 12:00:00
CORN,2024,2024-09-01,9,FIRST OF SEP,NATIONAL,US,US TOTAL,1763400000.0,1763.4,780400000.0,780.4,983000000.0,983.0,44.25541567426562,55.74458432573437,2025-01-10 12:00:00
CORN,2024,2024-12-01,12,FIRST OF DEC,NATIONAL,US,US TOTAL,12075407000.0,12075.407,7663000000.0,7663.0,4412407000.0,4412.407,63.459558754417145,36.54044124558287,2026-01-12 12:00:00
CORN,2025,2025-03-01,3,FIRST OF MAR,NATIONAL,US,US TOTAL,8147437000.0,8147.437,4500000000.0,4500.0,3647437000.0,3647.437,55.23209323373719,44.76790676626281,2026-01-12 12:00:00
CORN,2025,2025-06-01,6,FIRST OF JUN,NATIONAL,US,US TOTAL,4642894000.0,4642.894,2556000000.0,2556.0,2086894000.0,2086.894,55.05187066514979,44.948129334850194,2026-01-12 12:00:00
CORN,2025,2025-09-01,9,FIRST OF SEP,NATIONAL,US,US TOTAL,1551286000.0,1551.286,643200000.0,643.2,908086000.0,908.086,41.46237379825513,58.53762620174487,2026-01-12 12:00:00
CORN,2025,2025-12-01,12,FIRST OF DEC,NATIONAL,US,US TOTAL,13305825000.0,13305.825,8699000000.0,8699.0,4606825000.0,4606.825,65.37738171064177,34.62261828935823,2026-03-31 12:00:00
CORN,2026,2026-03-01,3,FIRST OF MAR,NATIONAL,US,US TOTAL,9030190000.0,9030.19,5432000000.0,5432.0,3598190000.0,3598.19,60.153773065683005,39.846226934316995,2026-06-30 12:00:00
CORN,2026,2026-06-01,6,FIRST OF JUN,NATIONAL,US,US TOTAL,5294828000.0,5294.828,2959100000.0,2959.1,2335728000.0,2335.728,55.88661236965582,44.11338763034418,2026-06-30 12:00:00
CORN,2015,2015-03-01,3,FIRST OF MAR,STATE,AL,ALABAMA,,,,,6189000.0,6.189,,,2019-02-06 15:00:06
CORN,2015,2015-06-01,6,FIRST OF JUN,STATE,AL,ALABAMA,,,,,5042000.0,5.042,,,2019-02-06 15:00:06
CORN,2015,2015-09-01,9,FIRST OF SEP,STATE,AL,ALABAMA,,,,,2651000.0,2.651,,,2019-02-06 15:00:06
CORN,2015,2015-12-01,12,FIRST OF DEC,STATE,AL,ALABAMA,,,,,7249000.0,7.249,,,2019-02-06 15:00:06
CORN,2016,2016-03-01,3,FIRST OF MAR,STATE,AL,ALABAMA,,,,,6765000.0,6.765,,,2019-02-06 15:00:06
CORN,2016,2016-06-01,6,FIRST OF JUN,STATE,AL,ALABAMA,,,,,5314000.0,5.314,,,2019-02-06 15:00:06
CORN,2016,2016-09-01,9,FIRST OF SEP,STATE,AL,ALABAMA,,,,,3130000.0,3.13,,,2019-02-06 15:00:06
CORN,2016,2016-12-01,12,FIRST OF DEC,STATE,AL,ALABAMA,,,,,7691000.0,7.691,,,2019-02-06 15:00:06
CORN,2017,2017-03-01,3,FIRST OF MAR,STATE,AL,ALABAMA,,,,,7247000.0,7.247,,,2019-02-06 15:00:06
CORN,2017,2017-06-01,6,FIRST OF JUN,STATE,AL,ALABAMA,,,,,5881000.0,5.881,,,2019-02-06 15:00:06
CORN,2017,2017-09-01,9,FIRST OF SEP,STATE,AL,ALABAMA,,,,,2855000.0,2.855,,,2019-02-06 15:00:06
CORN,2017,2017-12-01,12,FIRST OF DEC,STATE,AL,ALABAMA,,,,,7231000.0,7.231,,,2019-02-06 15:00:06
CORN,2018,2018-03-01,3,FIRST OF MAR,STATE,AL,ALABAMA,,,,,5996000.0,5.996,,,2019-02-06 15:00:06
CORN,2018,2018-06-01,6,FIRST OF JUN,STATE,AL,ALABAMA,,,,,4656000.0,4.656,,,2019-02-06 15:00:06
CORN,2018,2018-09-01,9,FIRST OF SEP,STATE,AL,ALABAMA,,,,,3164000.0,3.164,,,2019-02-06 15:00:06
CORN,2018,2018-12-01,12,FIRST OF DEC,STATE,AL,ALABAMA,,,,,8063000.0,8.063,,,2024-01-09 15:00:00
CORN,2019,2019-03-01,3,FIRST OF MAR,STATE,AL,ALABAMA,,,,,6933000.0,6.933,,,2024-01-09 15:00:00
CORN,2019,2019-06-01,6,FIRST OF JUN,STATE,AL,ALABAMA,,,,,2776000.0,2.776,,,2024-01-09 15:00:00
CORN,2019,2019-09-01,9,FIRST OF SEP,STATE,AL,ALABAMA,,,,,4866000.0,4.866,,,2024-01-09 15:00:00
CORN,2019,2019-12-01,12,FIRST OF DEC,STATE,AL,ALABAMA,,,,,9930000.0,9.93,,,2024-01-09 15:00:00
CORN,2020,2020-03-01,3,FIRST OF MAR,STATE,AL,ALABAMA,,,,,9437000.0,9.437,,,2024-01-09 15:00:00
CORN,2020,2020-06-01,6,FIRST OF JUN,STATE,AL,ALABAMA,,,,,6560000.0,6.56,,,2024-01-09 15:00:00
CORN,2020,2020-09-01,9,FIRST OF SEP,STATE,AL,ALABAMA,,,,,1955000.0,1.955,,,2024-01-09 15:00:00
CORN,2020,2020-12-01,12,FIRST OF DEC,STATE,AL,ALABAMA,,,,,9059000.0,9.059,,,2024-01-09 15:00:00
CORN,2021,2021-03-01,3,FIRST OF MAR,STATE,AL,ALABAMA,,,,,8376000.0,8.376,,,2024-01-09 15:00:00
CORN,2021,2021-06-01,6,FIRST OF JUN,STATE,AL,ALABAMA,,,,,6671000.0,6.671,,,2024-01-09 15:00:00
CORN,2021,2021-09-01,9,FIRST OF SEP,STATE,AL,ALABAMA,,,,,2235000.0,2.235,,,2024-01-09 15:00:00
CORN,2021,2021-12-01,12,FIRST OF DEC,STATE,AL,ALABAMA,,,,,10304000.0,10.304,,,2024-01-09 15:00:00
CORN,2022,2022-03-01,3,FIRST OF MAR,STATE,AL,ALABAMA,,,,,10147000.0,10.147,,,2024-01-09 15:00:00
CORN,2022,2022-06-01,6,FIRST OF JUN,STATE,AL,ALABAMA,,,,,5573000.0,5.573,,,2024-01-09 15:00:00
CORN,2022,2022-09-01,9,FIRST OF SEP,STATE,AL,ALABAMA,,,,,3242000.0,3.242,,,2024-01-09 15:00:00
CORN,2022,2022-12-01,12,FIRST OF DEC,STATE,AL,ALABAMA,,,,,6433000.0,6.433,,,2024-01-09 15:00:00
CORN,2023,2023-03-01,3,FIRST OF MAR,STATE,AL,ALABAMA,,,,,7062000.0,7.062,,,2024-01-09 15:00:00
CORN,2023,2023-06-01,6,FIRST OF JUN,STATE,AL,ALABAMA,,,,,6128000.0,6.128,,,2024-01-09 15:00:00
CORN,2023,2023-09-01,9,FIRST OF SEP,STATE,AL,ALABAMA,,,,,1963000.0,1.963,,,2024-01-09 15:00:00
CORN,2023,2023-12-01,12,FIRST OF DEC,STATE,AL,ALABAMA,,,,,9145000.0,9.145,,,2025-01-10 12:00:00
CORN,2024,2024-03-01,3,FIRST OF MAR,STATE,AL,ALABAMA,,,,,8678000.0,8.678,,,2025-01-10 12:00:00
CORN,2024,2024-06-01,6,FIRST OF JUN,STATE,AL,ALABAMA,,,,,5645000.0,5.645,,,2025-01-10 12:00:00
CORN,2024,2024-09-01,9,FIRST OF SEP,STATE,AL,ALABAMA,,,,,3803000.0,3.803,,,2025-01-10 12:00:00
CORN,2024,2024-12-01,12,FIRST OF DEC,STATE,AL,ALABAMA,,,,,7946000.0,7.946,,,2026-01-12 12:00:00
CORN,2025,2025-03-01,3,FIRST OF MAR,STATE,AL,ALABAMA,,,,,8742000.0,8.742,,,2026-01-12 12:00:00
CORN,2025,2025-06-01,6,FIRST OF JUN,STATE,AL,ALABAMA,,,,,7977000.0,7.977,,,2026-01-12 12:00:00
CORN,2025,2025-09-01,9,FIRST OF SEP,STATE,AL,ALABAMA,,,,,7311000.0,7.311,,,2026-01-12 12:00:00
CORN,2025,2025-12-01,12,FIRST OF DEC,STATE,AL,ALABAMA,,,,,9679000.0,9.679,,,2026-03-31 12:00:00
CORN,2026,2026-03-01,3,FIRST OF MAR,STATE,AL,ALABAMA,,,,,8878000.0,8.878,,,2026-06-30 12:00:00
CORN,2026,2026-06-01,6,FIRST OF JUN,STATE,AL,ALABAMA,,,,,6260000.0,6.26,,,2026-06-30 12:00:00
CORN,2015,2015-03-01,3,FIRST OF MAR,STATE,AR,ARKANSAS,,,,,12649000.0,12.649,,,2019-02-06 15:00:06
CORN,2015,2015-06-01,6,FIRST OF JUN,STATE,AR,ARKANSAS,,,,,3962000.0,3.962,,,2019-02-06 15:00:06
CORN,2015,2015-12-01,12,FIRST OF DEC,STATE,AR,ARKANSAS,,,,,18361000.0,18.361,,,2019-02-06 15:00:06
CORN,2016,2016-03-01,3,FIRST OF MAR,STATE,AR,ARKANSAS,,,,,15872000.0,15.872,,,2019-02-06 15:00:06
CORN,2016,2016-06-01,6,FIRST OF JUN,STATE,AR,ARKANSAS,,,,,7627000.0,7.627,,,2019-02-06 15:00:06
CORN,2016,2016-12-01,12,FIRST OF DEC,STATE,AR,ARKANSAS,,,,,29756000.0,29.756,,,2019-02-06 15:00:06
CORN,2017,2017-03-01,3,FIRST OF MAR,STATE,AR,ARKANSAS,,,,,15366000.0,15.366,,,2019-02-06 15:00:06
CORN,2017,2017-06-01,6,FIRST OF JUN,STATE,AR,ARKANSAS,,,,,8650000.0,8.65,,,2019-02-06 15:00:06
CORN,2017,2017-09-01,9,FIRST OF SEP,STATE,AR,ARKANSAS,,,,,2048000.0,2.048,,,2019-02-06 15:00:06
