mapdate,state_alpha,none,d0,d1,d2,d3,d4,d0_plus,d1_plus,d2_plus,d3_plus,d4_plus,d0_only,d1_only,d2_only,d3_only,d4_only,dsci,validstart,validend
2014-12-30,AR,36.88,63.12,14.4,0.0,0.0,0.0,63.12,14.4,0.0,0.0,0.0,48.72,14.4,0.0,0.0,0.0,77.52,2014-12-30,2015-01-05
2015-01-06,AR,75.88,24.12,8.95,0.0,0.0,0.0,24.12,8.95,0.0,0.0,0.0,15.170000000000002,8.95,0.0,0.0,0.0,33.07,2015-01-06,2015-01-12
2015-01-13,AR,69.68,30.32,9.94,0.0,0.0,0.0,30.32,9.94,0.0,0.0,0.0,20.380000000000003,9.94,0.0,0.0,0.0,40.26,2015-01-13,2015-01-19
2015-01-20,AR,68.86,31.14,14.95,0.0,0.0,0.0,31.14,14.95,0.0,0.0,0.0,16.19,14.95,0.0,0.0,0.0,46.09,2015-01-20,2015-01-26
2015-01-27,AR,65.75,34.25,16.37,0.0,0.0,0.0,34.25,16.37,0.0,0.0,0.0,17.88,16.37,0.0,0.0,0.0,50.620000000000005,2015-01-27,2015-02-02
2015-02-03,AR,54.32,45.68,23.78,5.69,0.0,0.0,45.68,23.78,5.69,0.0,0.0,21.9,18.09,5.69,0.0,0.0,75.15,2015-02-03,2015-02-09
2015-02-10,AR,15.52,84.48,23.78,9.07,0.0,0.0,84.48,23.78,9.07,0.0,0.0,60.7,14.71,9.07,0.0,0.0,117.33000000000001,2015-02-10,2015-02-16
2015-02-17,AR,15.52,84.48,23.78,9.07,0.0,0.0,84.48,23.78,9.07,0.0,0.0,60.7,14.71,9.07,0.0,0.0,117.33000000000001,2015-02-17,2015-02-23
2015-02-24,AR,17.47,82.53,19.99,4.55,0.0,0.0,82.53,19.99,4.55,0.0,0.0,62.540000000000006,15.439999999999998,4.55,0.0,0.0,107.07,2015-02-24,2015-03-02
2015-03-03,AR,38.17,61.83,10.66,2.18,0.0,0.0,61.83,10.66,2.18,0.0,0.0,51.17,8.48,2.18,0.0,0.0,74.67,2015-03-03,2015-03-09
2015-03-10,AR,46.8,53.2,8.38,1.09,0.0,0.0,53.2,8.38,1.09,0.0,0.0,44.82,7.290000000000001,1.09,0.0,0.0,62.67000000000001,2015-03-10,2015-03-16
2015-03-17,AR,54.88,45.12,3.24,0.0,0.0,0.0,45.12,3.24,0.0,0.0,0.0,41.879999999999995,3.24,0.0,0.0,0.0,48.36,2015-03-17,2015-03-23
2015-03-24,AR,84.74,15.26,2.17,0.0,0.0,0.0,15.26,2.17,0.0,0.0,0.0,13.09,2.17,0.0,0.0,0.0,17.43,2015-03-24,2015-03-30
2015-03-31,AR,95.38,4.62,0.0,0.0,0.0,0.0,4.62,0.0,0.0,0.0,0.0,4.62,0.0,0.0,0.0,0.0,4.62,2015-03-31,2015-04-06
2015-04-07,AR,95.66,4.34,0.0,0.0,0.0,0.0,4.34,0.0,0.0,0.0,0.0,4.34,0.0,0.0,0.0,0.0,4.34,2015-04-07,2015-04-13
2015-04-14,AR,96.05,3.95,0.0,0.0,0.0,0.0,3.95,0.0,0.0,0.0,0.0,3.95,0.0,0.0,0.0,0.0,3.95,2015-04-14,2015-04-20
2015-04-21,AR,96.02,3.98,0.0,0.0,0.0,0.0,3.98,0.0,0.0,0.0,0.0,3.98,0.0,0.0,0.0,0.0,3.98,2015-04-21,2015-04-27
2015-04-28,AR,96.02,3.98,0.0,0.0,0.0,0.0,3.98,0.0,0.0,0.0,0.0,3.98,0.0,0.0,0.0,0.0,3.98,2015-04-28,2015-05-04
2015-05-05,AR,94.48,5.52,0.0,0.0,0.0,0.0,5.52,0.0,0.0,0.0,0.0,5.52,0.0,0.0,0.0,0.0,5.52,2015-05-05,2015-05-11
2015-05-12,AR,95.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,2015-05-12,2015-05-18
2015-05-19,AR,98.04,1.96,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,1.96,2015-05-19,2015-05-25
2015-05-26,AR,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-05-26,2015-06-01
2015-06-02,AR,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-06-02,2015-06-08
2015-06-09,AR,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-06-09,2015-06-15
2015-06-16,AR,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-06-16,2015-06-22
2015-06-23,AR,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-06-23,2015-06-29
2015-06-30,AR,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-06-30,2015-07-06
2015-07-07,AR,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-07-07,2015-07-13
2015-07-14,AR,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-07-14,2015-07-20
2015-07-21,AR,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-07-21,2015-07-27
2015-07-28,AR,99.95,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,2015-07-28,2015-08-03
2015-08-04,AR,94.31,5.69,0.0,0.0,0.0,0.0,5.69,0.0,0.0,0.0,0.0,5.69,0.0,0.0,0.0,0.0,5.69,2015-08-04,2015-08-10
2015-08-11,AR,55.02,44.98,5.41,0.0,0.0,0.0,44.98,5.41,0.0,0.0,0.0,39.56999999999999,5.41,0.0,0.0,0.0,50.39,2015-08-11,2015-08-17
2015-08-18,AR,54.73,45.27,5.42,0.39,0.0,0.0,45.27,5.42,0.39,0.0,0.0,39.85,5.03,0.39,0.0,0.0,51.080000000000005,2015-08-18,2015-08-24
2015-08-25,AR,55.09,44.91,5.64,0.06,0.0,0.0,44.91,5.64,0.06,0.0,0.0,39.269999999999996,5.58,0.06,0.0,0.0,50.61,2015-08-25,2015-08-31
2015-09-01,AR,55.08,44.92,14.49,4.45,0.0,0.0,44.92,14.49,4.45,0.0,0.0,30.43,10.04,4.45,0.0,0.0,63.86000000000001,2015-09-01,2015-09-07
2015-09-08,AR,52.8,47.2,32.82,6.8,1.94,0.0,47.2,32.82,6.8,1.94,0.0,14.380000000000003,26.02,4.859999999999999,1.94,0.0,88.76,2015-09-08,2015-09-14
2015-09-15,AR,52.86,47.14,32.52,9.63,1.94,0.0,47.14,32.52,9.63,1.94,0.0,14.619999999999997,22.89,7.690000000000001,1.94,0.0,91.22999999999999,2015-09-15,2015-09-21
2015-09-22,AR,50.38,49.62,32.96,11.26,2.61,0.0,49.62,32.96,11.26,2.61,0.0,16.659999999999997,21.700000000000003,8.65,2.61,0.0,96.45,2015-09-22,2015-09-28
2015-09-29,AR,39.3,60.7,42.41,16.89,4.64,0.0,60.7,42.41,16.89,4.64,0.0,18.290000000000006,25.519999999999996,12.25,4.64,0.0,124.64,2015-09-29,2015-10-05
2015-10-06,AR,37.2,62.8,45.54,32.88,6.43,0.4,62.8,45.54,32.88,6.43,0.4,17.259999999999998,12.659999999999997,26.450000000000003,6.029999999999999,0.4,148.05,2015-10-06,2015-10-12
2015-10-13,AR,18.24,81.76,48.87,45.19,10.7,1.78,81.76,48.87,45.19,10.7,1.78,32.89000000000001,3.6799999999999997,34.489999999999995,8.92,1.78,188.29999999999998,2015-10-13,2015-10-19
2015-10-20,AR,4.3,95.7,60.38,45.6,38.22,3.59,95.7,60.38,45.6,38.22,3.59,35.32,14.780000000000001,7.380000000000003,34.629999999999995,3.59,243.49,2015-10-20,2015-10-26
2015-10-27,AR,23.27,76.73,48.68,33.0,0.0,0.0,76.73,48.68,33.0,0.0,0.0,28.050000000000004,15.68,33.0,0.0,0.0,158.41,2015-10-27,2015-11-02
2015-11-03,AR,23.4,76.6,22.44,0.0,0.0,0.0,76.6,22.44,0.0,0.0,0.0,54.16,22.44,0.0,0.0,0.0,99.03999999999999,2015-11-03,2015-11-09
2015-11-10,AR,28.91,71.09,10.77,0.0,0.0,0.0,71.09,10.77,0.0,0.0,0.0,60.32000000000001,10.77,0.0,0.0,0.0,81.86,2015-11-10,2015-11-16
2015-11-17,AR,62.52,37.48,7.79,0.0,0.0,0.0,37.48,7.79,0.0,0.0,0.0,29.689999999999998,7.79,0.0,0.0,0.0,45.269999999999996,2015-11-17,2015-11-23
2015-11-24,AR,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-11-24,2015-11-30
2015-12-01,AR,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-12-01,2015-12-07
2015-12-08,AR,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-12-08,2015-12-14
2015-12-15,AR,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-12-15,2015-12-21
2015-12-22,AR,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-12-22,2015-12-28
2015-12-29,AR,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-12-29,2016-01-04
2016-01-05,AR,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-01-05,2016-01-11
2016-01-12,AR,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-01-12,2016-01-18
2016-01-19,AR,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-01-19,2016-01-25
2016-01-26,AR,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-01-26,2016-02-01
2016-02-02,AR,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-02-02,2016-02-08
2016-02-09,AR,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-02-09,2016-02-15
2016-02-16,AR,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-02-16,2016-02-22
2016-02-23,AR,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-02-23,2016-02-29
2016-03-01,AR,94.99,5.01,0.0,0.0,0.0,0.0,5.01,0.0,0.0,0.0,0.0,5.01,0.0,0.0,0.0,0.0,5.01,2016-03-01,2016-03-07
2016-03-08,AR,93.87,6.13,0.0,0.0,0.0,0.0,6.13,0.0,0.0,0.0,0.0,6.13,0.0,0.0,0.0,0.0,6.13,2016-03-08,2016-03-14
2016-03-15,AR,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-03-15,2016-03-21
2016-03-22,AR,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-03-22,2016-03-28
2016-03-29,AR,80.45,19.55,0.0,0.0,0.0,0.0,19.55,0.0,0.0,0.0,0.0,19.55,0.0,0.0,0.0,0.0,19.55,2016-03-29,2016-04-04
2016-04-05,AR,93.64,6.36,0.0,0.0,0.0,0.0,6.36,0.0,0.0,0.0,0.0,6.36,0.0,0.0,0.0,0.0,6.36,2016-04-05,2016-04-11
2016-04-12,AR,93.64,6.36,0.0,0.0,0.0,0.0,6.36,0.0,0.0,0.0,0.0,6.36,0.0,0.0,0.0,0.0,6.36,2016-04-12,2016-04-18
2016-04-19,AR,71.25,28.75,0.0,0.0,0.0,0.0,28.75,0.0,0.0,0.0,0.0,28.75,0.0,0.0,0.0,0.0,28.75,2016-04-19,2016-04-25
2016-04-26,AR,71.25,28.75,0.0,0.0,0.0,0.0,28.75,0.0,0.0,0.0,0.0,28.75,0.0,0.0,0.0,0.0,28.75,2016-04-26,2016-05-02
2016-05-03,AR,82.09,17.91,0.0,0.0,0.0,0.0,17.91,0.0,0.0,0.0,0.0,17.91,0.0,0.0,0.0,0.0,17.91,2016-05-03,2016-05-09
2016-05-10,AR,82.09,17.91,0.0,0.0,0.0,0.0,17.91,0.0,0.0,0.0,0.0,17.91,0.0,0.0,0.0,0.0,17.91,2016-05-10,2016-05-16
2016-05-17,AR,95.18,4.82,0.0,0.0,0.0,0.0,4.82,0.0,0.0,0.0,0.0,4.82,0.0,0.0,0.0,0.0,4.82,2016-05-17,2016-05-23
2016-05-24,AR,94.01,5.99,0.0,0.0,0.0,0.0,5.99,0.0,0.0,0.0,0.0,5.99,0.0,0.0,0.0,0.0,5.99,2016-05-24,2016-05-30
2016-05-31,AR,94.01,5.99,0.0,0.0,0.0,0.0,5.99,0.0,0.0,0.0,0.0,5.99,0.0,0.0,0.0,0.0,5.99,2016-05-31,2016-06-06
2016-06-07,AR,94.01,5.99,0.0,0.0,0.0,0.0,5.99,0.0,0.0,0.0,0.0,5.99,0.0,0.0,0.0,0.0,5.99,2016-06-07,2016-06-13
2016-06-14,AR,95.14,4.86,0.0,0.0,0.0,0.0,4.86,0.0,0.0,0.0,0.0,4.86,0.0,0.0,0.0,0.0,4.86,2016-06-14,2016-06-20
2016-06-21,AR,94.94,5.06,0.0,0.0,0.0,0.0,5.06,0.0,0.0,0.0,0.0,5.06,0.0,0.0,0.0,0.0,5.06,2016-06-21,2016-06-27
2016-06-28,AR,94.91,5.09,0.0,0.0,0.0,0.0,5.09,0.0,0.0,0.0,0.0,5.09,0.0,0.0,0.0,0.0,5.09,2016-06-28,2016-07-04
