period,ethanol_production_kbd,ethanol_stocks_kbbl,implied_corn_use_mbu
2010-06-04,839,18309,88.095
2010-06-11,839,18551,88.095
2010-06-18,846,19368,88.83
2010-06-25,832,19499,87.36
2010-07-02,855,19921,89.775
2010-07-09,821,19674,86.205
2010-07-16,836,19877,87.78
2010-07-23,816,19523,85.68
2010-07-30,873,19541,91.665
2010-08-06,866,19343,90.93
2010-08-13,860,19205,90.3
2010-08-20,835,17858,87.675
2010-08-27,856,17562,89.88
2010-09-03,875,17735,91.875
2010-09-10,872,17868,91.56
2010-09-17,850,17506,89.25
2010-09-24,825,17164,86.625
2010-10-01,863,16898,90.615
2010-10-08,877,16365,92.085
2010-10-15,881,16034,92.505
2010-10-22,880,16310,92.4
2010-10-29,865,16349,90.825
2010-11-05,877,16061,92.085
2010-11-12,895,16718,93.975
2010-11-19,891,16802,93.555
2010-11-26,885,17110,92.925
2010-12-03,939,16384,98.595
2010-12-10,937,16717,98.385
2010-12-17,892,16774,93.66
2010-12-24,913,16841,95.865
2010-12-31,904,16858,94.92
2011-01-07,888,17096,93.24
2011-01-14,913,17801,95.865
2011-01-21,922,19037,96.81
2011-01-28,908,18890,95.34
2011-02-04,900,19576,94.5
2011-02-11,893,19576,93.765
2011-02-18,888,19349,93.24
2011-02-25,882,19127,92.61
2011-03-04,883,19873,92.715
2011-03-11,895,19905,93.975
2011-03-18,913,20048,95.865
2011-03-25,903,20092,94.815
2011-04-01,902,20060,94.71
2011-04-08,898,20515,94.29
2011-04-15,856,20091,89.88
2011-04-22,883,19283,92.715
2011-04-29,875,19771,91.875
2011-05-06,862,20439,90.51
2011-05-13,900,20412,94.5
2011-05-20,902,20797,94.71
2011-05-27,909,20227,95.445
2011-06-03,915,19644,96.075
2011-06-10,880,19745,92.4
2011-06-17,901,19509,94.605
2011-06-24,893,19484,93.765
2011-07-01,904,18553,94.92
2011-07-08,872,18775,91.56
2011-07-15,873,19145,91.665
2011-07-22,874,18872,91.77
2011-07-29,878,18901,92.19
2011-08-05,908,18153,95.34
2011-08-12,899,17582,94.395
2011-08-19,904,18243,94.92
2011-08-26,888,17893,93.24
2011-09-02,896,17082,94.08
2011-09-09,879,17156,92.295
2011-09-16,871,17088,91.455
2011-09-23,841,17358,88.305
2011-09-30,863,17342,90.615
2011-10-07,860,16875,90.3
2011-10-14,908,17053,95.34
2011-10-21,909,17291,95.445
2011-10-28,916,17200,96.18
2011-11-04,911,16430,95.655
2011-11-11,916,17111,96.18
2011-11-18,917,17451,96.285
2011-11-25,930,17046,97.65
2011-12-02,954,17934,100.17
2011-12-09,938,17058,98.49
2011-12-16,943,17663,99.015
2011-12-23,962,17674,101.01
2011-12-30,963,17945,101.115
2012-01-06,944,18773,99.12
2012-01-13,941,19535,98.805
2012-01-20,934,19805,98.07
2012-01-27,939,20591,98.595
2012-02-03,923,21063,96.915
2012-02-10,928,21493,97.44
2012-02-17,919,21540,96.495
2012-02-24,896,22002,94.08
2012-03-02,906,22070,95.13
2012-03-09,892,22043,93.66
2012-03-16,893,22713,93.765
2012-03-23,889,22628,93.345
2012-03-30,873,22553,91.665
2012-04-06,896,21772,94.08
2012-04-13,884,21968,92.82
2012-04-20,865,21852,90.825
2012-04-27,894,22222,93.87
2012-05-04,897,21374,94.185
2012-05-11,904,20630,94.92
2012-05-18,919,21398,96.495
2012-05-25,902,21508,94.71
2012-06-01,904,21188,94.92
2012-06-08,920,20666,96.6
2012-06-15,900,21185,94.5
2012-06-22,883,20757,92.715
2012-06-29,857,20293,89.985
2012-07-06,821,19532,86.205
2012-07-13,802,19556,84.21
2012-07-20,796,19005,83.58
2012-07-27,809,19401,84.945
2012-08-03,817,18651,85.785
2012-08-10,819,18447,85.995
2012-08-17,823,18493,86.415
2012-08-24,819,18494,85.995
2012-08-31,829,18732,87.045
2012-09-07,816,18953,85.68
2012-09-14,834,19325,87.57
2012-09-21,809,19259,84.945
2012-09-28,785,18808,82.425
2012-10-05,800,19256,84.0
2012-10-12,797,18989,83.685
2012-10-19,801,18766,84.105
2012-10-26,825,19215,86.625
2012-11-02,827,18136,86.835
2012-11-09,824,17851,86.52
2012-11-16,811,18927,85.155
2012-11-23,803,18347,84.315
2012-11-30,835,19341,87.675
2012-12-07,824,20028,86.52
2012-12-14,822,20838,86.31
2012-12-21,834,20315,87.57
2012-12-28,807,20213,84.735
2013-01-04,826,19854,86.73
2013-01-11,784,20361,82.32
2013-01-18,792,20083,83.16
2013-01-25,770,20540,80.85
2013-02-01,774,20098,81.27
2013-02-08,789,19500,82.845
2013-02-15,797,19495,83.685
2013-02-22,812,19374,85.26
2013-03-01,805,19351,84.525
2013-03-08,797,18688,83.685
2013-03-15,809,18465,84.945
2013-03-22,805,17441,84.525
2013-03-29,807,17481,84.735
2013-04-05,854,17788,89.67
2013-04-12,832,17507,87.36
2013-04-19,853,17592,89.565
2013-04-26,857,17036,89.985
2013-05-03,843,16847,88.515
2013-05-10,857,16429,89.985
2013-05-17,875,16182,91.875
2013-05-24,863,16047,90.615
2013-05-31,885,16411,92.925
2013-06-07,884,15992,92.82
2013-06-14,873,16450,91.665
2013-06-21,885,16293,92.925
2013-06-28,863,15445,90.615
2013-07-05,881,15719,92.505
2013-07-12,876,16578,91.98
2013-07-19,853,17257,89.565
2013-07-26,832,16453,87.36
2013-08-02,853,16716,89.565
2013-08-09,857,16425,89.985
2013-08-16,844,16482,88.62
2013-08-23,820,16250,86.1
2013-08-30,819,16216,85.995
2013-09-06,848,16269,89.04
2013-09-13,838,16178,87.99
2013-09-20,832,15613,87.36
2013-09-27,875,15509,91.875
2013-10-04,868,15390,91.14
2013-10-11,869,15419,91.245
2013-10-18,897,15499,94.185
2013-10-25,911,14961,95.655
2013-11-01,902,15165,94.71
2013-11-08,927,15153,97.335
2013-11-15,904,15083,94.92
2013-11-22,927,15022,97.335
2013-11-29,913,15124,95.865
2013-12-06,944,15448,99.12
2013-12-13,928,15625,97.44
2013-12-20,926,15660,97.23
2013-12-27,913,15582,95.865
2014-01-03,919,16138,96.495
2014-01-10,868,16078,91.14
2014-01-17,905,17018,95.025
2014-01-24,900,16932,94.5
2014-01-31,895,16739,93.975
2014-02-07,902,17062,94.71
2014-02-14,903,17203,94.815
2014-02-21,905,17024,95.025
2014-02-28,894,16611,93.87
2014-03-07,869,15908,91.245
2014-03-14,891,15277,93.555
2014-03-21,885,15653,92.925
2014-03-28,922,15875,96.81
2014-04-04,896,16407,94.08
2014-04-11,939,15952,98.595
2014-04-18,910,16518,95.55
2014-04-25,898,17212,94.29
2014-05-02,894,17140,93.87
2014-05-09,922,17302,96.81
2014-05-16,925,16990,97.125
2014-05-23,927,17489,97.335
2014-05-30,938,18250,98.49
2014-06-06,944,18422,99.12
2014-06-13,972,17850,102.06
2014-06-20,938,18183,98.49
2014-06-27,953,18204,100.065
2014-07-04,927,18286,97.335
2014-07-11,943,17945,99.015
2014-07-18,959,17940,100.695
2014-07-25,954,18587,100.17
2014-08-01,902,18260,94.71
2014-08-08,931,17760,97.755
2014-08-15,937,18251,98.385
2014-08-22,913,17317,95.865
2014-08-29,921,17673,96.705
2014-09-05,927,18021,97.335
2014-09-12,931,18805,97.755
2014-09-19,889,18592,93.345
2014-09-26,881,18828,92.505
2014-10-03,901,18651,94.605
2014-10-10,885,18356,92.925
2014-10-17,896,17940,94.08
2014-10-24,937,17039,98.385
2014-10-31,929,17169,97.545
2014-11-07,946,17705,99.33
2014-11-14,970,17335,101.85
2014-11-21,982,17072,103.11
2014-11-28,962,17289,101.01
2014-12-05,988,17750,103.74
2014-12-12,990,17659,103.95
2014-12-19,992,17615,104.16
2014-12-26,972,18094,102.06
2015-01-02,949,18845,99.645
2015-01-09,978,20229,102.69
2015-01-16,979,20387,102.795
2015-01-23,978,20631,102.69
2015-01-30,948,20986,99.54
2015-02-06,961,21135,100.905
2015-02-13,964,21084,101.22
2015-02-20,947,21594,99.435
2015-02-27,931,21528,97.755
2015-03-06,944,21173,99.12
2015-03-13,947,20820,99.435
2015-03-20,953,21317,100.065
2015-03-27,952,20547,99.96
2015-04-03,936,20483,98.28
2015-04-10,924,20645,97.02
2015-04-17,930,21342,97.65
2015-04-24,921,20797,96.705
2015-05-01,887,20762,93.135
2015-05-08,912,20299,95.76
2015-05-15,958,20434,100.59
2015-05-22,969,20097,101.745
2015-05-29,972,20068,102.06
2015-06-05,992,20246,104.16
2015-06-12,980,20718,102.9
2015-06-19,994,19840,104.37
2015-06-26,968,19532,101.64
2015-07-03,987,19841,103.635
2015-07-10,984,19740,103.32
2015-07-17,973,19559,102.165
2015-07-24,965,19648,101.325
2015-07-31,961,19239,100.905
2015-08-07,965,18529,101.325
2015-08-14,965,18561,101.325
2015-08-21,952,18628,99.96
2015-08-28,948,19002,99.54
2015-09-04,958,18642,100.59
2015-09-11,961,18291,100.905
2015-09-18,938,18900,98.49
2015-09-25,943,18782,99.015
