commodity,year,stock_date,stock_month,reference_period_desc,agg_level,state_alpha,state_name,stocks_bu,stocks_mbu,load_time
CORN,2015,2015-03-01,3,FIRST OF MAR,NATIONAL,US,US TOTAL,7749806000.0,7749.806,2019-02-06 15:00:06
CORN,2015,2015-06-01,6,FIRST OF JUN,NATIONAL,US,US TOTAL,4452988000.0,4452.988,2019-02-06 15:00:06
CORN,2015,2015-09-01,9,FIRST OF SEP,NATIONAL,US,US TOTAL,1731164000.0,1731.164,2019-02-06 15:00:06
CORN,2015,2015-12-01,12,FIRST OF DEC,NATIONAL,US,US TOTAL,11235178000.0,11235.178,2019-02-06 15:00:06
CORN,2016,2016-03-01,3,FIRST OF MAR,NATIONAL,US,US TOTAL,7822233000.0,7822.233,2019-02-06 15:00:06
CORN,2016,2016-06-01,6,FIRST OF JUN,NATIONAL,US,US TOTAL,4711079000.0,4711.079,2019-02-06 15:00:06
CORN,2016,2016-09-01,9,FIRST OF SEP,NATIONAL,US,US TOTAL,1737058000.0,1737.058,2019-02-06 15:00:06
CORN,2016,2016-12-01,12,FIRST OF DEC,NATIONAL,US,US TOTAL,12383471000.0,12383.471,2019-02-06 15:00:06
CORN,2017,2017-03-01,3,FIRST OF MAR,NATIONAL,US,US TOTAL,8621992000.0,8621.992,2019-02-06 15:00:06
CORN,2017,2017-06-01,6,FIRST OF JUN,NATIONAL,US,US TOTAL,5229082000.0,5229.082,2019-02-06 15:00:06
CORN,2017,2017-09-01,9,FIRST OF SEP,NATIONAL,US,US TOTAL,2293303000.0,2293.303,2019-02-06 15:00:06
CORN,2017,2017-12-01,12,FIRST OF DEC,NATIONAL,US,US TOTAL,12566501000.0,12566.501,2019-02-06 15:00:06
CORN,2018,2018-03-01,3,FIRST OF MAR,NATIONAL,US,US TOTAL,8892126000.0,8892.126,2019-02-06 15:00:06
CORN,2018,2018-06-01,6,FIRST OF JUN,NATIONAL,US,US TOTAL,5304804000.0,5304.804,2019-02-06 15:00:06
CORN,2018,2018-09-01,9,FIRST OF SEP,NATIONAL,US,US TOTAL,2140335000.0,2140.335,2019-02-06 15:00:06
CORN,2018,2018-12-01,12,FIRST OF DEC,NATIONAL,US,US TOTAL,12286508000.0,12286.508,2024-01-09 15:00:00
CORN,2019,2019-03-01,3,FIRST OF MAR,NATIONAL,US,US TOTAL,8835335000.0,8835.335,2024-01-09 15:00:00
CORN,2019,2019-06-01,6,FIRST OF JUN,NATIONAL,US,US TOTAL,5363535000.0,5363.535,2024-01-09 15:00:00
CORN,2019,2019-09-01,9,FIRST OF SEP,NATIONAL,US,US TOTAL,2237008000.0,2237.008,2024-01-09 15:00:00
CORN,2019,2019-12-01,12,FIRST OF DEC,NATIONAL,US,US TOTAL,11820322000.0,11820.322,2024-01-09 15:00:00
CORN,2020,2020-03-01,3,FIRST OF MAR,NATIONAL,US,US TOTAL,8299381000.0,8299.381,2024-01-09 15:00:00
CORN,2020,2020-06-01,6,FIRST OF JUN,NATIONAL,US,US TOTAL,5237190000.0,5237.19,2024-01-09 15:00:00
CORN,2020,2020-09-01,9,FIRST OF SEP,NATIONAL,US,US TOTAL,2004354000.0,2004.354,2024-01-09 15:00:00
CORN,2020,2020-12-01,12,FIRST OF DEC,NATIONAL,US,US TOTAL,11816985000.0,11816.985,2024-01-09 15:00:00
CORN,2021,2021-03-01,3,FIRST OF MAR,NATIONAL,US,US TOTAL,7806778000.0,7806.778,2024-01-09 15:00:00
CORN,2021,2021-06-01,6,FIRST OF JUN,NATIONAL,US,US TOTAL,4111181000.0,4111.181,2024-01-09 15:00:00
CORN,2021,2021-09-01,9,FIRST OF SEP,NATIONAL,US,US TOTAL,1234512000.0,1234.512,2024-01-09 15:00:00
CORN,2021,2021-12-01,12,FIRST OF DEC,NATIONAL,US,US TOTAL,11631181000.0,11631.181,2024-01-09 15:00:00
CORN,2022,2022-03-01,3,FIRST OF MAR,NATIONAL,US,US TOTAL,7757036000.0,7757.036,2024-01-09 15:00:00
CORN,2022,2022-06-01,6,FIRST OF JUN,NATIONAL,US,US TOTAL,4348968000.0,4348.968,2024-01-09 15:00:00
CORN,2022,2022-09-01,9,FIRST OF SEP,NATIONAL,US,US TOTAL,1376890000.0,1376.89,2024-01-09 15:00:00
CORN,2022,2022-12-01,12,FIRST OF DEC,NATIONAL,US,US TOTAL,10813207000.0,10813.207,2024-01-09 15:00:00
CORN,2023,2023-03-01,3,FIRST OF MAR,NATIONAL,US,US TOTAL,7396403000.0,7396.403,2024-01-09 15:00:00
CORN,2023,2023-06-01,6,FIRST OF JUN,NATIONAL,US,US TOTAL,4103309000.0,4103.309,2024-01-09 15:00:00
CORN,2023,2023-09-01,9,FIRST OF SEP,NATIONAL,US,US TOTAL,1360201000.0,1360.201,2024-01-09 15:00:00
CORN,2023,2023-12-01,12,FIRST OF DEC,NATIONAL,US,US TOTAL,12171163000.0,12171.163,2025-01-10 12:00:00
CORN,2024,2024-03-01,3,FIRST OF MAR,NATIONAL,US,US TOTAL,8352378000.0,8352.378,2025-01-10 12:00:00
CORN,2024,2024-06-01,6,FIRST OF JUN,NATIONAL,US,US TOTAL,4997048000.0,4997.048,2025-01-10 12:00:00
CORN,2024,2024-09-01,9,FIRST OF SEP,NATIONAL,US,US TOTAL,1763400000.0,1763.4,2025-01-10 12:00:00
CORN,2024,2024-12-01,12,FIRST OF DEC,NATIONAL,US,US TOTAL,12075407000.0,12075.407,2026-01-12 12:00:00
CORN,2025,2025-03-01,3,FIRST OF MAR,NATIONAL,US,US TOTAL,8147437000.0,8147.437,2026-01-12 12:00:00
CORN,2025,2025-06-01,6,FIRST OF JUN,NATIONAL,US,US TOTAL,4642894000.0,4642.894,2026-01-12 12:00:00
CORN,2025,2025-09-01,9,FIRST OF SEP,NATIONAL,US,US TOTAL,1551286000.0,1551.286,2026-01-12 12:00:00
CORN,2025,2025-12-01,12,FIRST OF DEC,NATIONAL,US,US TOTAL,13305825000.0,13305.825,2026-03-31 12:00:00
CORN,2026,2026-03-01,3,FIRST OF MAR,NATIONAL,US,US TOTAL,9024445000.0,9024.445,2026-03-31 12:00:00
CORN,2015,2015-03-01,3,FIRST OF MAR,STATE,AL,ALABAMA,,,2019-02-06 15:00:06
CORN,2015,2015-06-01,6,FIRST OF JUN,STATE,AL,ALABAMA,,,2019-02-06 15:00:06
CORN,2015,2015-09-01,9,FIRST OF SEP,STATE,AL,ALABAMA,,,2019-02-06 15:00:06
CORN,2015,2015-12-01,12,FIRST OF DEC,STATE,AL,ALABAMA,,,2019-02-06 15:00:06
CORN,2016,2016-03-01,3,FIRST OF MAR,STATE,AL,ALABAMA,,,2019-02-06 15:00:06
CORN,2016,2016-06-01,6,FIRST OF JUN,STATE,AL,ALABAMA,,,2019-02-06 15:00:06
CORN,2016,2016-09-01,9,FIRST OF SEP,STATE,AL,ALABAMA,,,2019-02-06 15:00:06
CORN,2016,2016-12-01,12,FIRST OF DEC,STATE,AL,ALABAMA,,,2019-02-06 15:00:06
CORN,2017,2017-03-01,3,FIRST OF MAR,STATE,AL,ALABAMA,,,2019-02-06 15:00:06
CORN,2017,2017-06-01,6,FIRST OF JUN,STATE,AL,ALABAMA,,,2019-02-06 15:00:06
CORN,2017,2017-09-01,9,FIRST OF SEP,STATE,AL,ALABAMA,,,2019-02-06 15:00:06
CORN,2017,2017-12-01,12,FIRST OF DEC,STATE,AL,ALABAMA,,,2019-02-06 15:00:06
CORN,2018,2018-03-01,3,FIRST OF MAR,STATE,AL,ALABAMA,,,2019-02-06 15:00:06
CORN,2018,2018-06-01,6,FIRST OF JUN,STATE,AL,ALABAMA,,,2019-02-06 15:00:06
CORN,2018,2018-09-01,9,FIRST OF SEP,STATE,AL,ALABAMA,,,2019-02-06 15:00:06
CORN,2018,2018-12-01,12,FIRST OF DEC,STATE,AL,ALABAMA,,,2024-01-09 15:00:00
CORN,2019,2019-03-01,3,FIRST OF MAR,STATE,AL,ALABAMA,,,2024-01-09 15:00:00
CORN,2019,2019-06-01,6,FIRST OF JUN,STATE,AL,ALABAMA,,,2024-01-09 15:00:00
CORN,2019,2019-09-01,9,FIRST OF SEP,STATE,AL,ALABAMA,,,2024-01-09 15:00:00
CORN,2019,2019-12-01,12,FIRST OF DEC,STATE,AL,ALABAMA,,,2024-01-09 15:00:00
CORN,2020,2020-03-01,3,FIRST OF MAR,STATE,AL,ALABAMA,,,2024-01-09 15:00:00
CORN,2020,2020-06-01,6,FIRST OF JUN,STATE,AL,ALABAMA,,,2024-01-09 15:00:00
CORN,2020,2020-09-01,9,FIRST OF SEP,STATE,AL,ALABAMA,,,2024-01-09 15:00:00
CORN,2020,2020-12-01,12,FIRST OF DEC,STATE,AL,ALABAMA,,,2024-01-09 15:00:00
CORN,2021,2021-03-01,3,FIRST OF MAR,STATE,AL,ALABAMA,,,2024-01-09 15:00:00
CORN,2021,2021-06-01,6,FIRST OF JUN,STATE,AL,ALABAMA,,,2024-01-09 15:00:00
CORN,2021,2021-09-01,9,FIRST OF SEP,STATE,AL,ALABAMA,,,2024-01-09 15:00:00
CORN,2021,2021-12-01,12,FIRST OF DEC,STATE,AL,ALABAMA,,,2024-01-09 15:00:00
CORN,2022,2022-03-01,3,FIRST OF MAR,STATE,AL,ALABAMA,,,2024-01-09 15:00:00
CORN,2022,2022-06-01,6,FIRST OF JUN,STATE,AL,ALABAMA,,,2024-01-09 15:00:00
CORN,2022,2022-09-01,9,FIRST OF SEP,STATE,AL,ALABAMA,,,2024-01-09 15:00:00
CORN,2022,2022-12-01,12,FIRST OF DEC,STATE,AL,ALABAMA,,,2024-01-09 15:00:00
CORN,2023,2023-03-01,3,FIRST OF MAR,STATE,AL,ALABAMA,,,2024-01-09 15:00:00
CORN,2023,2023-06-01,6,FIRST OF JUN,STATE,AL,ALABAMA,,,2024-01-09 15:00:00
CORN,2023,2023-09-01,9,FIRST OF SEP,STATE,AL,ALABAMA,,,2024-01-09 15:00:00
CORN,2023,2023-12-01,12,FIRST OF DEC,STATE,AL,ALABAMA,,,2025-01-10 12:00:00
CORN,2024,2024-03-01,3,FIRST OF MAR,STATE,AL,ALABAMA,,,2025-01-10 12:00:00
CORN,2024,2024-06-01,6,FIRST OF JUN,STATE,AL,ALABAMA,,,2025-01-10 12:00:00
CORN,2024,2024-09-01,9,FIRST OF SEP,STATE,AL,ALABAMA,,,2025-01-10 12:00:00
CORN,2024,2024-12-01,12,FIRST OF DEC,STATE,AL,ALABAMA,,,2026-01-12 12:00:00
CORN,2025,2025-03-01,3,FIRST OF MAR,STATE,AL,ALABAMA,,,2026-01-12 12:00:00
CORN,2025,2025-06-01,6,FIRST OF JUN,STATE,AL,ALABAMA,,,2026-01-12 12:00:00
CORN,2025,2025-09-01,9,FIRST OF SEP,STATE,AL,ALABAMA,,,2026-01-12 12:00:00
CORN,2025,2025-12-01,12,FIRST OF DEC,STATE,AL,ALABAMA,,,2026-03-31 12:00:00
CORN,2026,2026-03-01,3,FIRST OF MAR,STATE,AL,ALABAMA,,,2026-03-31 12:00:00
CORN,2015,2015-03-01,3,FIRST OF MAR,STATE,AR,ARKANSAS,,,2019-02-06 15:00:06
CORN,2015,2015-06-01,6,FIRST OF JUN,STATE,AR,ARKANSAS,,,2019-02-06 15:00:06
CORN,2015,2015-09-01,9,FIRST OF SEP,STATE,AR,ARKANSAS,,,2019-02-06 15:00:06
CORN,2015,2015-12-01,12,FIRST OF DEC,STATE,AR,ARKANSAS,,,2019-02-06 15:00:06
CORN,2016,2016-03-01,3,FIRST OF MAR,STATE,AR,ARKANSAS,,,2019-02-06 15:00:06
CORN,2016,2016-06-01,6,FIRST OF JUN,STATE,AR,ARKANSAS,,,2019-02-06 15:00:06
CORN,2016,2016-09-01,9,FIRST OF SEP,STATE,AR,ARKANSAS,,,2019-02-06 15:00:06
CORN,2016,2016-12-01,12,FIRST OF DEC,STATE,AR,ARKANSAS,,,2019-02-06 15:00:06
CORN,2017,2017-03-01,3,FIRST OF MAR,STATE,AR,ARKANSAS,,,2019-02-06 15:00:06
CORN,2017,2017-06-01,6,FIRST OF JUN,STATE,AR,ARKANSAS,,,2019-02-06 15:00:06
CORN,2017,2017-09-01,9,FIRST OF SEP,STATE,AR,ARKANSAS,,,2019-02-06 15:00:06
CORN,2017,2017-12-01,12,FIRST OF DEC,STATE,AR,ARKANSAS,,,2019-02-06 15:00:06
CORN,2018,2018-03-01,3,FIRST OF MAR,STATE,AR,ARKANSAS,,,2019-02-06 15:00:06
CORN,2018,2018-06-01,6,FIRST OF JUN,STATE,AR,ARKANSAS,,,2019-02-06 15:00:06
CORN,2018,2018-09-01,9,FIRST OF SEP,STATE,AR,ARKANSAS,,,2019-02-06 15:00:06
CORN,2018,2018-12-01,12,FIRST OF DEC,STATE,AR,ARKANSAS,,,2024-01-09 15:00:00
CORN,2019,2019-03-01,3,FIRST OF MAR,STATE,AR,ARKANSAS,,,2024-01-09 15:00:00
CORN,2019,2019-06-01,6,FIRST OF JUN,STATE,AR,ARKANSAS,,,2024-01-09 15:00:00
CORN,2019,2019-09-01,9,FIRST OF SEP,STATE,AR,ARKANSAS,,,2024-01-09 15:00:00
CORN,2019,2019-12-01,12,FIRST OF DEC,STATE,AR,ARKANSAS,,,2024-01-09 15:00:00
CORN,2020,2020-03-01,3,FIRST OF MAR,STATE,AR,ARKANSAS,,,2024-01-09 15:00:00
CORN,2020,2020-06-01,6,FIRST OF JUN,STATE,AR,ARKANSAS,,,2024-01-09 15:00:00
CORN,2020,2020-09-01,9,FIRST OF SEP,STATE,AR,ARKANSAS,,,2024-01-09 15:00:00
CORN,2020,2020-12-01,12,FIRST OF DEC,STATE,AR,ARKANSAS,,,2024-01-09 15:00:00
CORN,2021,2021-03-01,3,FIRST OF MAR,STATE,AR,ARKANSAS,,,2024-01-09 15:00:00
CORN,2021,2021-06-01,6,FIRST OF JUN,STATE,AR,ARKANSAS,,,2024-01-09 15:00:00
CORN,2021,2021-09-01,9,FIRST OF SEP,STATE,AR,ARKANSAS,,,2024-01-09 15:00:00
CORN,2021,2021-12-01,12,FIRST OF DEC,STATE,AR,ARKANSAS,,,2024-01-09 15:00:00
CORN,2022,2022-03-01,3,FIRST OF MAR,STATE,AR,ARKANSAS,,,2024-01-09 15:00:00
CORN,2022,2022-06-01,6,FIRST OF JUN,STATE,AR,ARKANSAS,,,2024-01-09 15:00:00
CORN,2022,2022-09-01,9,FIRST OF SEP,STATE,AR,ARKANSAS,,,2024-01-09 15:00:00
CORN,2022,2022-12-01,12,FIRST OF DEC,STATE,AR,ARKANSAS,,,2024-01-09 15:00:00
CORN,2023,2023-03-01,3,FIRST OF MAR,STATE,AR,ARKANSAS,,,2024-01-09 15:00:00
CORN,2023,2023-06-01,6,FIRST OF JUN,STATE,AR,ARKANSAS,,,2024-01-09 15:00:00
CORN,2023,2023-09-01,9,FIRST OF SEP,STATE,AR,ARKANSAS,,,2024-01-09 15:00:00
CORN,2023,2023-12-01,12,FIRST OF DEC,STATE,AR,ARKANSAS,,,2025-01-10 12:00:00
CORN,2024,2024-03-01,3,FIRST OF MAR,STATE,AR,ARKANSAS,,,2025-01-10 12:00:00
CORN,2024,2024-06-01,6,FIRST OF JUN,STATE,AR,ARKANSAS,,,2025-01-10 12:00:00
