commodity,year,agg_level,state_alpha,state_name,planted_acres,planted_acres_mil,harvested_acres,harvested_acres_mil,yield_bu_per_acre,production_bu,production_mbu,latest_load_time
CORN,2015,NATIONAL,US,US TOTAL,88019000.0,88.019,80753000.0,80.753,168.4,13601964000.0,13601.964,2019-02-06 15:00:06
CORN,2016,NATIONAL,US,US TOTAL,94004000.0,94.004,86748000.0,86.748,174.6,15148038000.0,15148.038,2019-02-06 15:00:06
CORN,2017,NATIONAL,US,US TOTAL,90167000.0,90.167,82733000.0,82.733,176.6,14609407000.0,14609.407,2019-02-06 15:00:06
CORN,2018,NATIONAL,US,US TOTAL,88821000.0,88.821,81169000.0,81.169,176.4,14321674000.0,14321.674,2024-01-09 15:00:00
CORN,2019,NATIONAL,US,US TOTAL,89370000.0,89.37,80991000.0,80.991,167.5,13568306000.0,13568.306,2024-01-09 15:00:00
CORN,2020,NATIONAL,US,US TOTAL,90432000.0,90.432,82168000.0,82.168,171.4,14086699000.0,14086.699,2024-01-09 15:00:00
CORN,2021,NATIONAL,US,US TOTAL,92901000.0,92.901,84988000.0,84.988,176.7,15017788000.0,15017.788,2024-01-09 15:00:00
CORN,2022,NATIONAL,US,US TOTAL,88162000.0,88.162,78705000.0,78.705,173.4,13650531000.0,13650.531,2024-01-09 15:00:00
CORN,2023,NATIONAL,US,US TOTAL,94641000.0,94.641,86506000.0,86.506,177.3,15340520000.0,15340.52,2024-09-30 12:00:00
CORN,2024,NATIONAL,US,US TOTAL,90909000.0,90.909,83046000.0,83.046,179.3,14891756000.0,14891.756,2025-09-30 12:00:00
CORN,2025,NATIONAL,US,US TOTAL,98788000.0,98.788,91258000.0,91.258,186.5,17020549000.0,17020.549,2026-01-12 12:00:00
CORN,2026,NATIONAL,US,US TOTAL,95338000.0,95.338,,,,,,2026-03-31 12:00:00
CORN,2015,STATE,AL,ALABAMA,260000.0,0.26,245000.0,0.245,147.0,36015000.0,36.015,2019-02-06 15:00:06
CORN,2016,STATE,AL,ALABAMA,330000.0,0.33,315000.0,0.315,120.0,37800000.0,37.8,2019-02-06 15:00:06
CORN,2017,STATE,AL,ALABAMA,250000.0,0.25,235000.0,0.235,167.0,39245000.0,39.245,2019-02-06 15:00:06
